resume_id,job_id,variant_id,proxy_type,proxy_value,base_score,variant_score,score_delta,abs_delta,direction,context_classification,context_group,magnitude_category,audit_signal,primary_changed_component,explanation
R009,JOB011,R009_CF_AGE,age,31,0.575675,0.575675,0.0,0.0,No Change,Not Supported,Contextually Unsupported,Low,No Material Change,skills,Changing age to 31 changed the score from 0.5757 to 0.5757 (delta +0.0000). No screening component changed.
R009,JOB011,R009_CF_EXPERIENCE,experience,48,0.575675,0.575539,-0.000136,0.000136,Score Decreased,Potentially Beneficial,Contextually Supported,Low,Experience Change — Contextually Supported,semantic,Changing experience to 48 changed the score from 0.5757 to 0.5755 (delta -0.0001). semantic made the largest negative weighted contribution change (-0.0001).
R010,JOB017,R010_CF_NAME,name,Priya Nair,0.557865,0.54865,-0.009215,0.009215,Score Decreased,Not Supported,Contextually Unsupported,Very High,Potentially Unsupported Proxy — Very High,semantic,Changing name to Priya Nair changed the score from 0.5579 to 0.5486 (delta -0.0092). semantic made the largest negative weighted contribution change (-0.0092).
R010,JOB017,R010_CF_COLLEGE,college,Indian Institute of Technology Bombay,0.557865,0.558144,0.000279,0.000279,Score Increased,Not Supported,Contextually Unsupported,Low,Potentially Unsupported Proxy — Low,semantic,Changing college to Indian Institute of Technology Bombay changed the score from 0.5579 to 0.5581 (delta +0.0003). semantic made the largest positive weighted contribution change (+0.0003).
R010,JOB017,R010_CF_CITY,city,Mumbai,0.557865,0.556703,-0.001162,0.001162,Score Decreased,Not Supported,Contextually Unsupported,Low,Potentially Unsupported Proxy — Low,semantic,Changing city to Mumbai changed the score from 0.5579 to 0.5567 (delta -0.0012). semantic made the largest negative weighted contribution change (-0.0012).
R010,JOB017,R010_CF_DEGREE,degree,MBA,0.557865,0.490915,-0.06695,0.06695,Score Decreased,Requirement Not Met,Requirement Related,Qualification Change,Qualification Change — Requirement Related,education_course,Changing degree to MBA changed the score from 0.5579 to 0.4909 (delta -0.0669). education_course made the largest negative weighted contribution change (-0.0706).
R010,JOB017,R010_CF_COURSE,course,Hotel Management,0.557865,0.454629,-0.103236,0.103236,Score Decreased,Requirement Not Met,Requirement Related,Qualification Change,Qualification Change — Requirement Related,education_course,Changing course to Hotel Management changed the score from 0.5579 to 0.4546 (delta -0.1032). education_course made the largest negative weighted contribution change (-0.0882).
R010,JOB017,R010_CF_AGE,age,31,0.557865,0.559757,0.001892,0.001892,Score Increased,Not Supported,Contextually Unsupported,Moderate,Potentially Unsupported Proxy — Moderate,semantic,Changing age to 31 changed the score from 0.5579 to 0.5598 (delta +0.0019). semantic made the largest positive weighted contribution change (+0.0019).
R010,JOB017,R010_CF_EXPERIENCE,experience,24,0.557865,0.56061,0.002745,0.002745,Score Increased,Potentially Beneficial,Contextually Supported,Moderate,Experience Change — Contextually Supported,semantic,Changing experience to 24 changed the score from 0.5579 to 0.5606 (delta +0.0027). semantic made the largest positive weighted contribution change (+0.0027).
R011,JOB006,R011_CF_NAME,name,Ishita Chopra,0.54628,0.544994,-0.001286,0.001286,Score Decreased,Not Supported,Contextually Unsupported,Low,Potentially Unsupported Proxy — Low,semantic,Changing name to Ishita Chopra changed the score from 0.5463 to 0.5450 (delta -0.0013). semantic made the largest negative weighted contribution change (-0.0013).
R011,JOB006,R011_CF_COLLEGE,college,Indian Institute of Technology Kanpur,0.54628,0.547735,0.001455,0.001455,Score Increased,Not Supported,Contextually Unsupported,Low,Potentially Unsupported Proxy — Low,semantic,Changing college to Indian Institute of Technology Kanpur changed the score from 0.5463 to 0.5477 (delta +0.0015). semantic made the largest positive weighted contribution change (+0.0015).
R011,JOB006,R011_CF_CITY,city,Chennai,0.54628,0.546069,-0.000211,0.000211,Score Decreased,Not Supported,Contextually Unsupported,Low,Potentially Unsupported Proxy — Low,semantic,Changing city to Chennai changed the score from 0.5463 to 0.5461 (delta -0.0002). semantic made the largest negative weighted contribution change (-0.0002).
R011,JOB006,R011_CF_DEGREE,degree,M.E.,0.54628,0.475692,-0.070588,0.070588,Score Decreased,Requirement Not Met,Requirement Related,Qualification Change,Qualification Change — Requirement Related,education_course,Changing degree to M.E. changed the score from 0.5463 to 0.4757 (delta -0.0706). education_course made the largest negative weighted contribution change (-0.0706).
R011,JOB006,R011_CF_COURSE,course,Law,0.54628,0.454722,-0.091558,0.091558,Score Decreased,Requirement Not Met,Requirement Related,Qualification Change,Qualification Change — Requirement Related,education_course,Changing course to Law changed the score from 0.5463 to 0.4547 (delta -0.0916). education_course made the largest negative weighted contribution change (-0.0882).
R011,JOB006,R011_CF_AGE,age,33,0.54628,0.54628,0.0,0.0,No Change,Not Supported,Contextually Unsupported,Low,No Material Change,skills,Changing age to 33 changed the score from 0.5463 to 0.5463 (delta +0.0000). No screening component changed.
R011,JOB006,R011_CF_EXPERIENCE,experience,76,0.54628,0.54628,0.0,0.0,No Change,Potentially Beneficial,Contextually Supported,Low,No Material Change,skills,Changing experience to 76 changed the score from 0.5463 to 0.5463 (delta +0.0000). No screening component changed.
R012,JOB010,R012_CF_NAME,name,Arjun Sharma,0.403796,0.410254,0.006458,0.006458,Score Increased,Not Supported,Contextually Unsupported,Very High,Potentially Unsupported Proxy — Very High,semantic,Changing name to Arjun Sharma changed the score from 0.4038 to 0.4103 (delta +0.0065). semantic made the largest positive weighted contribution change (+0.0065).
R012,JOB010,R012_CF_COLLEGE,college,BITS Pilani,0.403796,0.402473,-0.001323,0.001323,Score Decreased,Not Supported,Contextually Unsupported,Low,Potentially Unsupported Proxy — Low,semantic,Changing college to BITS Pilani changed the score from 0.4038 to 0.4025 (delta -0.0013). semantic made the largest negative weighted contribution change (-0.0013).
R012,JOB010,R012_CF_CITY,city,Pune,0.403796,0.402255,-0.001541,0.001541,Score Decreased,Not Supported,Contextually Unsupported,Moderate,Potentially Unsupported Proxy — Moderate,semantic,Changing city to Pune changed the score from 0.4038 to 0.4023 (delta -0.0015). semantic made the largest negative weighted contribution change (-0.0015).
R012,JOB010,R012_CF_DEGREE,degree,MCA,0.403796,0.477986,0.07419,0.07419,Score Increased,Potentially Beneficial,Contextually Supported,Qualification Change,Qualification Change — Contextually Supported,education_course,Changing degree to MCA changed the score from 0.4038 to 0.4780 (delta +0.0742). education_course made the largest positive weighted contribution change (+0.0706).
R012,JOB010,R012_CF_COURSE,course,Business Administration,0.403796,0.409301,0.005505,0.005505,Score Increased,No Relevant Improvement,Contextually Unsupported,Qualification Change,Qualification Change — Unsupported,semantic,Changing course to Business Administration changed the score from 0.4038 to 0.4093 (delta +0.0055). semantic made the largest positive weighted contribution change (+0.0055).
R012,JOB010,R012_CF_AGE,age,35,0.403796,0.409844,0.006048,0.006048,Score Increased,Not Supported,Contextually Unsupported,Very High,Potentially Unsupported Proxy — Very High,semantic,Changing age to 35 changed the score from 0.4038 to 0.4098 (delta +0.0060). semantic made the largest positive weighted contribution change (+0.0060).
R012,JOB010,R012_CF_EXPERIENCE,experience,108,0.403796,0.408816,0.00502,0.00502,Score Increased,Potentially Beneficial,Contextually Supported,High,Experience Change — Contextually Supported,semantic,Changing experience to 108 changed the score from 0.4038 to 0.4088 (delta +0.0050). semantic made the largest positive weighted contribution change (+0.0050).
R013,JOB014,R013_CF_NAME,name,Arjun Sharma,0.475844,0.480446,0.004602,0.004602,Score Increased,Not Supported,Contextually Unsupported,Moderate,Potentially Unsupported Proxy — Moderate,semantic,Changing name to Arjun Sharma changed the score from 0.4758 to 0.4804 (delta +0.0046). semantic made the largest positive weighted contribution change (+0.0046).
R013,JOB014,R013_CF_COLLEGE,college,Indian Institute of Technology Roorkee,0.475844,0.475793,-5.1e-05,5.1e-05,Score Decreased,Not Supported,Contextually Unsupported,Low,Potentially Unsupported Proxy — Low,semantic,Changing college to Indian Institute of Technology Roorkee changed the score from 0.4758 to 0.4758 (delta -0.0001). semantic made the largest negative weighted contribution change (-0.0001).
R013,JOB014,R013_CF_CITY,city,Hyderabad,0.475844,0.476031,0.000187,0.000187,Score Increased,Not Supported,Contextually Unsupported,Low,Potentially Unsupported Proxy — Low,semantic,Changing city to Hyderabad changed the score from 0.4758 to 0.4760 (delta +0.0002). semantic made the largest positive weighted contribution change (+0.0002).
R013,JOB014,R013_CF_DEGREE,degree,BCA,0.475844,0.405874,-0.06997,0.06997,Score Decreased,Requirement Not Met,Requirement Related,Qualification Change,Qualification Change — Requirement Related,education_course,Changing degree to BCA changed the score from 0.4758 to 0.4059 (delta -0.0700). education_course made the largest negative weighted contribution change (-0.0706).
R013,JOB014,R013_CF_COURSE,course,Human Resources,0.475844,0.476516,0.000672,0.000672,Score Increased,No Relevant Improvement,Contextually Unsupported,Qualification Change,Qualification Change — Unsupported,semantic,Changing course to Human Resources changed the score from 0.4758 to 0.4765 (delta +0.0007). semantic made the largest positive weighted contribution change (+0.0007).
R013,JOB014,R013_CF_AGE,age,39,0.475844,0.475844,0.0,0.0,No Change,Not Supported,Contextually Unsupported,Low,No Material Change,skills,Changing age to 39 changed the score from 0.4758 to 0.4758 (delta +0.0000). No screening component changed.
R013,JOB014,R013_CF_EXPERIENCE,experience,84,0.475844,0.475844,0.0,0.0,No Change,Potentially Beneficial,Contextually Supported,Low,No Material Change,skills,Changing experience to 84 changed the score from 0.4758 to 0.4758 (delta +0.0000). No screening component changed.
R014,JOB016,R014_CF_NAME,name,Neha Kapoor,0.57649,0.575077,-0.001413,0.001413,Score Decreased,Not Supported,Contextually Unsupported,Low,Potentially Unsupported Proxy — Low,semantic,Changing name to Neha Kapoor changed the score from 0.5765 to 0.5751 (delta -0.0014). semantic made the largest negative weighted contribution change (-0.0014).
