resume_id,source_category,total_experience_months,total_experience_years,experience_extraction_method
R072,Python Developer,0,0.0,none
R073,Hadoop,0,0.0,none
R074,Mechanical Engineer,0,0.0,none
R075,Operations Manager,0,0.0,none
R076,Operations Manager,204,17.0,year_range
R077,Arts,0,0.0,none
R078,Network Security Engineer,0,0.0,none
R079,Automation Testing,0,0.0,none
R080,Electrical Engineering,15,1.2,explicit_years
R081,Data Science,0,0.0,none
R082,Java Developer,0,0.0,none
R083,Mechanical Engineer,0,0.0,none
R084,Blockchain,0,0.0,none
R085,Blockchain,0,0.0,none
R086,Business Analyst,0,0.0,none
R087,Hadoop,0,0.0,none
R088,Web Designing,0,0.0,none
R089,Blockchain,0,0.0,none
R090,Health and fitness,132,11.0,year_range
R091,Advocate,0,0.0,none
R092,Network Security Engineer,0,0.0,none
R093,Automation Testing,0,0.0,none
R094,Web Designing,0,0.0,none
R095,HR,0,0.0,none
R096,Testing,0,0.0,none
R097,Database,0,0.0,none
R098,Data Science,24,2.0,explicit_years
R099,Arts,0,0.0,none
R100,Python Developer,0,0.0,none
R101,Data Science,0,0.0,none
R102,Web Designing,0,0.0,none
R103,Network Security Engineer,0,0.0,none
R104,PMO,0,0.0,none
R105,Electrical Engineering,15,1.2,explicit_years
R106,PMO,0,0.0,none
R107,HR,0,0.0,none
R108,Health and fitness,108,9.0,explicit_years
R109,Operations Manager,0,0.0,none
R110,PMO,0,0.0,none
R111,Hadoop,0,0.0,none
R112,Data Science,0,0.0,none
R113,Testing,0,0.0,none
R114,Database,0,0.0,none
R115,Civil Engineer,0,0.0,none
R116,Python Developer,0,0.0,none
R117,Civil Engineer,0,0.0,none
R118,Mechanical Engineer,12,1.0,explicit_years
R119,Hadoop,0,0.0,none
R120,Arts,0,0.0,none
R121,Mechanical Engineer,12,1.0,explicit_years
R122,Electrical Engineering,0,0.0,none
R123,Database,108,9.0,year_range
R124,Database,0,0.0,none
R125,Arts,96,8.0,since_year
R126,Advocate,0,0.0,none
R127,Blockchain,0,0.0,none
R128,PMO,0,0.0,none
R129,Business Analyst,0,0.0,none
R130,Web Designing,0,0.0,none
R131,ETL Developer,36,3.0,explicit_years
R132,Mechanical Engineer,0,0.0,none
R133,SAP Developer,0,0.0,none
R134,Database,0,0.0,none
R135,Mechanical Engineer,0,0.0,none
R136,Network Security Engineer,0,0.0,none
R137,Data Science,0,0.0,none
R138,Electrical Engineering,0,0.0,none
R139,Sales,0,0.0,none
R140,DevOps Engineer,0,0.0,none
R141,DotNet Developer,0,0.0,none
R142,DotNet Developer,0,0.0,none
R143,Blockchain,0,0.0,none
R144,Sales,12,1.0,explicit_years
R145,Business Analyst,0,0.0,none
R146,Web Designing,108,9.0,year_range
R147,Data Science,24,2.0,explicit_years
R148,Electrical Engineering,0,0.0,none
R149,SAP Developer,0,0.0,none
R150,Business Analyst,0,0.0,none
R151,DotNet Developer,0,0.0,none
R152,DotNet Developer,0,0.0,none
R153,SAP Developer,0,0.0,none
R154,HR,0,0.0,none
R155,HR,0,0.0,none
R156,Health and fitness,0,0.0,none
R157,ETL Developer,96,8.0,year_range
R158,DevOps Engineer,0,0.0,none
R159,Advocate,0,0.0,none
R160,Java Developer,0,0.0,none
R161,ETL Developer,18,1.5,date_range
R162,DevOps Engineer,0,0.0,none
R163,Hadoop,0,0.0,none
R164,DotNet Developer,0,0.0,none
R165,Health and fitness,0,0.0,none
R166,Sales,0,0.0,none
R167,Electrical Engineering,0,0.0,none
R168,Sales,120,10.0,explicit_years
R169,Testing,0,0.0,none
R170,Health and fitness,0,0.0,none
R171,Sales,0,0.0,none
R172,SAP Developer,108,9.0,year_range
R173,Advocate,0,0.0,none
R174,Health and fitness,132,11.0,year_range
R175,Hadoop,0,0.0,none
R176,Testing,0,0.0,none
R177,DevOps Engineer,0,0.0,none
R178,Web Designing,108,9.0,year_range
R179,Database,0,0.0,none
R180,Testing,0,0.0,none
R181,Data Science,0,0.0,none
R182,Sales,0,0.0,none
R183,PMO,0,0.0,none
R184,DevOps Engineer,0,0.0,none
R185,PMO,0,0.0,none
R186,Automation Testing,0,0.0,none
R187,Automation Testing,0,0.0,none
R188,Operations Manager,204,17.0,year_range
R189,Business Analyst,0,0.0,none
R190,Java Developer,108,9.0,year_range
R191,Python Developer,0,0.0,none
R192,Testing,0,0.0,none
R193,Advocate,0,0.0,none
R194,Blockchain,0,0.0,none
R195,Civil Engineer,0,0.0,none
R196,Electrical Engineering,0,0.0,none
R197,HR,0,0.0,none
R198,SAP Developer,156,13.0,explicit_years
R199,DotNet Developer,0,0.0,none
R200,Automation Testing,108,9.0,year_range
